靈: 𩆜 -> 靈
殮: [none] -> [易之]
蟹: [none] -> [易之]
簿: [none] -> 篰
癩: [none] -> 瘌
滾: [none] -> [易之]
茴: [none] -> [易之]
碗: [none] -> 盌
餃: [none] -> [易之]
盒: [none] -> [易之]
糊: 𪏻 -> 餬
陋: [none] -> [易之]
煤: [none] -> [易之]
憶: [none] -> [易之]
擺: [none] -> [易之]
淆: [none] -> 殽
蹣: [none] -> [易之]
跚: [none] -> [易之]
弁: 覍 -> 㝸
疤: [none] -> [易之]
膺: [none] -> [易之]
鱸: [none] -> [易之]
杉: [none] -> 檆
撒: [none] -> [易之]
漯: [none] -> [易之]
窄: [none] -> 笮
褶: [none] -> [易之]
塑: [none] -> [易之]
峻: 𡺲 -> [易之]
愎: [none] -> [易之]
屑: [none] -> [易之]
瘤: [none] -> [易之]
舐: [none] -> 狧
磷: [none] -> [易之]
愕: [none] -> [易之]
擷: 襭 -> [易之]
踩: [none] -> [易之]
螅: [none] -> [易之]
褥: [none] -> 蓐
螄: [none] -> [易之]
莓: [none] -> [易之]
磐: [none] -> [易之]
槳: [none] -> [易之]
亮: 𣄴 -> [易之]
麂: 𪊨 -> [易之]
鄕: [none] -> [易之]
鴉: 雅 -> [易之]
批: 𢱧 -> [易之]
蕒: [none] -> [易之]
穗: 𥝩 -> [易之]
鰾: [none] -> [易之]
攬: [none] -> [易之]
吼: 㖃 -> 㖃
樺: [none] -> [易之]
俯: 頫 -> 頫
鶚: [none] -> [易之]
鸕: [none] -> [易之]
潟: [none] -> [易之]
邀: [none] -> [易之]
涉: 𣻣 -> 涉
砥: 厎 -> [易之]
蝻: [none] -> [易之]
舴: [none] -> [易之]
艋: [none] -> [易之]
鎮: [none] -> 鎭
菰: [none] -> [易之]
攀: 𠬜 -> [易之]
竊: [none] -> [易之]
獐: [none] -> [易之]
櫚: [none] -> [易之]
艦: [none] -> [易之]
斃: 獘 -> 獘
島: [none] -> [易之]
鮣: [none] -> [易之]
晾: [none] -> [易之]
淚: [none] -> [易之]
漩: [none] -> [易之]
鱟: [none] -> [易之]
兪: [none] -> 兪
嘍: [none] -> [易之]
囉: [none] -> [易之]
琉: [none] -> [易之]
璃: [none] -> [易之]
佯: [none] -> [易之]
顋: [none] -> [易之]
搐: [none] -> [易之]
墾: [none] -> [易之]
堡: [none] -> [易之]
浸: [none] -> [易之]
擻: [none] -> [易之]
慕: [none] -> [易之]
以: 㠯 -> 㠯
住: 侸 -> [易之]
蚜: [none] -> [易之]
嘴: [none] -> [易之]
瞭: [none] -> [易之]
函: [none] -> 圅
蜷: [none] -> [易之]
鯪: [none] -> [易之]
憑: [none] -> 凭
溜: [none] -> [易之]
域: 或 -> [易之]
腺: [none] -> [易之]
葇: [none] -> 柔
肱: 厷 -> 厷
冽: [none] -> [易之]
棲: 西 -> [易之]
鋒: 鏠 -> 鏠
鍘: [none] -> [易之]
間: 閒 -> 閒
澄: 澂 -> 澂
娘: [none] -> 孃
